NAME,YEAR,total.weight.g,total.catch.n
Acetes americanus carolinae,2008,14.4,343
Anchoa hepsetus,2008,509.2,55
Anchoa lyolepis,2008,0.8,1
Anchoa mitchilli,2008,67462.9,93916
Archosargus probatocephalus,2008,478,2
Ariopsis felis,2008,1415.4,77
Bagre marinus,2008,2098,102
Bairdiella chrysoura,2008,4409.2,198
Brevoortia patronus,2008,1160.5,55
Callinectes sapidus,2008,482.8,18
Callinectes similis,2008,52.5,39
Caranx hippos,2008,57.9,8
Chaetodipterus faber,2008,12.2,1
Chloroscombrus chrysurus,2008,566.8,82
Chrysaora quinquecirrha,2008,412.7,22
Citharichthys spilopterus,2008,6.8,2
Cynoscion arenarius,2008,2055.1,391
Cynoscion nebulosus,2008,2388.7,13
Cynoscion nothus,2008,93,3
Dorosoma petenense,2008,434.7,34
Elops saurus,2008,134.5,3
Etropus crossotus,2008,100.7,3
Farfantepenaeus aztecus,2008,4953.6,687
Harengula jaguana,2008,135.1,7
Ictalurus furcatus,2008,578.9,1
Ictalurus punctatus,2008,422,1
Lagodon rhomboides,2008,281.5,8
Leiostomus xanthurus,2008,4759,350
Lepisosteus osseus,2008,5428.6,2
Lepomis microlophus,2008,1178.8,6
Libinia emarginata,2008,8.4,1
Litopenaeus setiferus,2008,1912.5,564
Lolliguncula brevis,2008,1968,489
Menticirrhus americanus,2008,6,2
Microgobius gulosus,2008,0.1,1
Microgobius thalassinus,2008,0,1
Micropogonias undulatus,2008,24712.9,777
Mnemiopsis mccradyi,2008,0,NA
Mugil cephalus,2008,23551.7,144
Mugil curema,2008,144.5,3
Opisthonema oglinum,2008,47,2
Pagurus pollicaris,2008,7.7,3
Paralichthys lethostigma,2008,89.5,1
Peprilus burti,2008,802.6,69
Peprilus paru,2008,227.3,14
Pogonias cromis,2008,1957.8,8
Pomatomus saltatrix,2008,41.7,2
Porichthys plectrodon,2008,0.2,1
Prionotus tribulus,2008,5.3,1
Rhizoprionodon terraenovae,2008,181.2,1
Scomberomorus maculatus,2008,5.1,2
Selene setapinnis,2008,441.9,70
Selene vomer,2008,13.1,2
Sphoeroides parvus,2008,2.9,2
Squilla empusa,2008,15.4,2
Stellifer lanceolatus,2008,392,1193
Symphurus plagiusa,2008,101.3,11
Syngnathus louisianae,2008,0.7,2
Trichiurus lepturus,2008,6410.3,283
Trinectes maculatus,2008,40.4,3
Acetes americanus carolinae,2009,1219.4,26764
Alpheus angulatus,2009,3.8,2
Alpheus estuariensis,2009,26.1,16
Alpheus floridanus,2009,0.5,1
Alpheus heterochaelis,2009,4.5,3
Amanthia verticillatum,2009,0,NA
Anadara ovalis,2009,3,1
Anchoa hepsetus,2009,8265.58,5365
Anchoa lyolepis,2009,491.8,1365
Anchoa mitchilli,2009,202660,226335
