Year,NMFS Name,Pounds,Metric Tons,Dollars,Confidentiality,Collection,Scientific Name,Tsn
2010,"AMBERJACK, GREATER",,,,Confidential,Commercial,Seriola dumerili,168689
2010,"BARRACUDAS, SPHYRAENIDAE (FAMILY) **",,,,Confidential,Commercial,Sphyraenidae,170424
2010,BLUEFISH,,,,Confidential,Commercial,Pomatomus saltatrix,168559
2010,"CATFISHES, FORKTAIL **",,,,Confidential,Commercial,Ictalurus,163996
2010,"CATFISHES, SEA **",,,,Confidential,Commercial,Ariidae,164157
2010,"CRAB, BLUE","367,189",167,"371,045",Public,Commercial,Callinectes sapidus,98696
2010,"CROAKER, ATLANTIC",,,,Confidential,Commercial,Micropogonias undulatus,169283
2010,DOLPHINFISH,,,,Confidential,Commercial,Coryphaena hippurus,168791
2010,"DRUM, BLACK","11,442",5,"4,151",Public,Commercial,Pogonias cromis,169288
2010,"DRUM, RED","36,444",17,"64,619",Public,Commercial,Sciaenops ocellatus,169290
2010,FLATFISHES **,"27,565",13,"64,101",Public,Commercial,Pleuronectiformes,172702
2010,"GROUPER, GAG",,,,Confidential,Commercial,Mycteroperca microlepis,167759
2010,"GROUPERS, SERRANIDAE (FAMILY) **",,,,Confidential,Commercial,Serranidae,167674
2010,HARVESTFISHES **,,,,Confidential,Commercial,Peprilus,172564
2010,"JACK, CREVALLE",,,,Confidential,Commercial,Caranx hippos,168609
2010,KINGFISHES **,"2,895",1,"2,907",Public,Commercial,Menticirrhus,169273
2010,LADYFISH,,,,Confidential,Commercial,Elops saurus,161111
2010,"MACKEREL, KING",,,,Confidential,Commercial,Scomberomorus cavalla,172435
2010,"MACKEREL, SPANISH",,,,Confidential,Commercial,Scomberomorus maculatus,172436
2010,MENHADENS **,"104,729,230","47,505","8,378,339",Public,Commercial,Brevoortia ,161731
2010,"MULLET, STRIPED","58,796",27,"30,552",Public,Commercial,Mugil cephalus,170335
2010,"OYSTER, EASTERN","1,452,712",659,"4,267,658",Public,Commercial,Crassostrea virginica,79872
2010,"POMPANO, FLORIDA",,,,Confidential,Commercial,Trachinotus carolinus,168708
2010,"RUNNER, BLUE",,,,Confidential,Commercial,Caranx crysos,168612
2010,SCADS **,,,,Confidential,Commercial,Decapterus ,168723
2010,SCAMP,,,,Confidential,Commercial,Mycteroperca phenax,167763
2010,"SEATROUT, SAND","8,042",4,"5,225",Public,Commercial,Cynoscion arenarius,169243
2010,"SEATROUT, SPOTTED","41,534",19,"96,044",Public,Commercial,Cynoscion nebulosus,169239
2010,"SHARK, DOGFISH, SMOOTH",,,,Confidential,Commercial,Mustelus canis,160230
2010,SHEEPSHEAD,"24,852",11,"14,665",Public,Commercial,Archosargus probatocephalus,169189
2010,"SHRIMP, BROWN","1,602,473",727,"2,775,236",Public,Commercial,Penaeus aztecus,95605
2010,"SHRIMP, NORTHERN WHITE","2,545,338","1,155","5,536,859",Public,Commercial,Penaeus setiferus,95610
2010,"SNAPPER, GRAY",371,0,661,Public,Commercial,Lutjanus griseus,168848
2010,"SNAPPER, LANE",,,,Confidential,Commercial,Lutjanus synagris,168860
2010,"SNAPPER, RED",,,,Confidential,Commercial,Lutjanus campechanus,168853
2010,"SNAPPER, VERMILION",,,,Confidential,Commercial,Rhomboplites aurorubens,168909
