"","NAME","YEAR","total.weight.g","total.catch.n","total.weight.kg","total.weight.t","biomass.t","biomass.g","biomass.kg"
"1","Acetes americanus carolinae",2008,14.4,343,0.0144,1.44e-05,9.86605839127998e-06,9.86605839127998,0.00986605839127998
"2","Acetes americanus carolinae",2009,1219.4,26764,1.2194,0.0012194,0.00083546330571714,835.46330571714,0.83546330571714
"3","Acetes americanus carolinae",2010,490.1,13746,0.4901,0.0004901,0.000335788556775439,335.788556775439,0.335788556775439
"4","Acetes americanus carolinae",2011,129.7,3111,0.1297,0.0001297,8.88630398159037e-05,88.8630398159037,0.0888630398159037
"5","Acetes americanus carolinae",2012,828,20376,0.828,0.000828,0.000567298357498599,567.298357498599,0.567298357498599
"6","Acetes americanus carolinae",2013,815.1,21903,0.8151,0.0008151,0.000558460013523077,558.460013523077,0.558460013523077
"7","Acetes americanus carolinae",2014,250.4,6192,0.2504,0.0002504,0.000171559793137258,171.559793137257,0.171559793137257
"8","Acetes americanus carolinae",2015,606.1,15270,0.6061,0.0006061,0.00041526513826075,415.26513826075,0.41526513826075
"9","Acetes americanus carolinae",2016,390.6,13922,0.3906,0.0003906,0.00026761683386347,267.61683386347,0.26761683386347
"10","Acetes americanus carolinae",2017,802.6,25996,0.8026,0.0008026,0.000549895726725091,549.895726725091,0.549895726725091
"11","Acetes americanus carolinae",2019,89.6,3217,0.0896,8.96e-05,6.13888077679643e-05,61.3888077679643,0.0613888077679643
"12","Acetes americanus carolinae",2020,0.4,17,4e-04,4e-07,2.74057177535555e-07,0.274057177535555,0.000274057177535555
"13","Acetes americanus carolinae",2021,398.7,9205,0.3987,0.0003987,0.000273166491708565,273.166491708565,0.273166491708565
"14","Allothyone mexicana",2013,1.2,1,0.0012,1.2e-06,8.22171532606665e-07,0.822171532606665,0.000822171532606665
"15","Alosa chrysochloris",2012,54,3,0.054,5.4e-05,3.69977189672999e-05,36.9977189672999,0.0369977189672999
"16","Alosa chrysochloris",2013,6.8,1,0.0068,6.8e-06,4.65897201810444e-06,4.65897201810444,0.00465897201810444
"17","Alosa chrysochloris",2017,56.9,1,0.0569,5.69e-05,3.89846335044327e-05,38.9846335044327,0.0389846335044327
"18","Alpheus angulatus",2009,3.8,2,0.0038,3.8e-06,2.60354318658777e-06,2.60354318658777,0.00260354318658777
"19","Alpheus angulatus",2010,0,1,0,0,0,0,0
"20","Alpheus angulatus",2012,0.5,2,5e-04,5e-07,3.42571471919444e-07,0.342571471919444,0.000342571471919444
"21","Alpheus angulatus",2013,0.2,1,2e-04,2e-07,1.37028588767778e-07,0.137028588767778,0.000137028588767778
"22","Alpheus estuariensis",2009,26.1,16,0.0261,2.61e-05,1.7882230834195e-05,17.882230834195,0.017882230834195
"23","Alpheus estuariensis",2012,4.7,5,0.0047,4.7e-06,3.22017183604277e-06,3.22017183604277,0.00322017183604277
"24","Alpheus estuariensis",2013,0.5,1,5e-04,5e-07,3.42571471919444e-07,0.342571471919444,0.000342571471919444
"25","Alpheus estuariensis",2017,4.4,2,0.0044,4.4e-06,3.01462895289111e-06,3.01462895289111,0.00301462895289111
"26","Alpheus floridanus",2009,0.5,1,5e-04,5e-07,3.42571471919444e-07,0.342571471919444,0.000342571471919444
"27","Alpheus heterochaelis",2009,4.5,3,0.0045,4.5e-06,3.08314324727499e-06,3.08314324727499,0.00308314324727499
"28","Aluterus scriptus",2012,3.1,1,0.0031,3.1e-06,2.12394312590055e-06,2.12394312590055,0.00212394312590055
"29","Amanthia verticillatum",2009,0,NA,0,0,0,0,0
"30","Amanthia verticillatum",2010,0,NA,0,0,0,0,0
"31","Amanthia verticillatum",2011,0,NA,0,0,0,0,0
"32","Amanthia verticillatum",2012,50.6,NA,0.0506,5.06e-05,3.46682329582477e-05,34.6682329582477,0.0346682329582477
"33","Amanthia verticillatum",2013,143.1,NA,0.1431,0.0001431,9.80439552633448e-05,98.0439552633448,0.0980439552633448
"34","Amanthia verticillatum",2014,65.9,NA,0.0659,6.59e-05,4.51509199989827e-05,45.1509199989827,0.0451509199989827
"35","Amanthia verticillatum",2015,22.2,NA,0.0222,2.22e-05,1.52101733532233e-05,15.2101733532233,0.0152101733532233
"36","Amanthia verticillatum",2016,7.3,NA,0.0073,7.3e-06,5.00154349002388e-06,5.00154349002388,0.00500154349002388
"37","Amanthia verticillatum",2017,15.3,NA,0.0153,1.53e-05,1.0482687040735e-05,10.482687040735,0.010482687040735
"38","Amanthia verticillatum",2019,10.1,NA,0.0101,1.01e-05,6.91994373277277e-06,6.91994373277277,0.00691994373277277
"39","Amanthia verticillatum",2020,0.1,NA,1e-04,1e-07,6.85142943838888e-08,0.0685142943838888,6.85142943838888e-05
"40","Amanthia verticillatum",2021,5.7,NA,0.0057,5.7e-06,3.90531477988166e-06,3.90531477988166,0.00390531477988166
"41","Amathia alternata",2021,0,NA,0,0,0,0,0
"42","Amathia convoluta",2012,0,NA,0,0,0,0,0
"43","Amathia convoluta",2017,0.1,NA,1e-04,1e-07,6.85142943838888e-08,0.0685142943838888,6.85142943838888e-05
"44","Amathia sp.",2011,0,NA,0,0,0,0,0
"45","Amathia sp.",2012,18.2,NA,0.0182,1.82e-05,1.24696015778678e-05,12.4696015778678,0.0124696015778678
"46","Amathia sp.",2013,5.3,NA,0.0053,5.3e-06,3.6312576023461e-06,3.6312576023461,0.0036312576023461
"47","Amathia sp.",2015,0.4,NA,4e-04,4e-07,2.74057177535555e-07,0.274057177535555,0.000274057177535555
"48","Amathia sp.",2016,0.1,NA,1e-04,1e-07,6.85142943838888e-08,0.0685142943838888,6.85142943838888e-05
"49","Amathia sp.",2017,17.5,NA,0.0175,1.75e-05,1.19900015171805e-05,11.9900015171805,0.0119900015171805
