"","STATION","DATE","GEAR","HOUR","MINUTE","ESTUARY","ZONE","DEPTH","TRANS","W_DIR","W_FOR","SEA_ST","CLOUD","SAL_SUR","SAL_BOT","TMP_SUR","TMP_BOT","OXY_SUR","OXY_BOT","HABITAT","PH_SUR","PH_BOT","FNU_SURF","FNU_BOT","X","X.1"
"1",47,"6/6/2013",1,-1,-1,1,5,-1,-1,"-1",-1,-1,-1,-1,-1,-1,-1,-1,-1,412,NA,NA,NA,NA,NA,NA
"2",37,"11/17/2008",1,9,55,2,4,9,2,"36",2,1,0,25,25,15.2,15.2,8.3,8.2,412,NA,NA,NA,NA,NA,NA
"3",36,"11/17/2008",1,11,10,2,2,10,2.5,"36",2,1,0,15,15,17.8,17.3,7.6,6.9,222,NA,NA,NA,NA,NA,NA
"4",34,"11/17/2008",1,11,40,2,3,11,4,"36",2,1,0,18,19,16.4,16.2,7.7,7.6,112,NA,NA,NA,NA,NA,NA
"5",32,"11/17/2008",1,9,26,2,5,10,3.5,"36",3,2,0,31,32,16.1,16.5,7.7,7.4,402,NA,NA,NA,NA,NA,NA
"6",36,"1/22/2009",1,11,50,2,2,9,3,"22",2,0,0,6,7,11,11,12,11,222,NA,NA,NA,NA,NA,NA
"7",5006,"1/22/2009",1,9,54,2,5,10,2,"9",2,2,0,22,27,9.7,11.1,10.4,8.2,412,NA,NA,NA,NA,NA,NA
"8",32,"1/22/2009",1,9,26,2,5,10,3,"9",2,2,0,23,30,9,14,10,8,402,NA,NA,NA,NA,NA,NA
"9",34,"1/22/2009",1,12,25,2,3,12,5,"18",2,1,0,12,13,10,10,12,11,112,NA,NA,NA,NA,NA,NA
"10",48,"1/22/2009",1,8,17,2,5,13,3,"9",2,2,0,27,31,9.3,10.9,9.8,8.7,402,NA,NA,NA,NA,NA,NA
"11",37,"1/22/2009",1,10,34,2,4,8,3,"9",2,1,0,21,22,9,10,11,10,412,NA,NA,NA,NA,NA,NA
"12",47,"4/22/2009",1,11,3,1,5,38,2,"18",3,2,0,5,27,20.8,21,6.2,5.5,412,NA,NA,NA,NA,NA,NA
"13",34,"11/18/2009",1,14,12,2,3,15,4,"32",2,1,0,8,10,17.7,17.3,7.4,7.4,112,NA,NA,NA,NA,NA,NA
"14",36,"11/18/2009",1,13,42,2,2,13,3,"32",2,0,0,5,6,18.2,17.6,9.2,6.6,222,NA,NA,NA,NA,NA,NA
"15",36,"1/19/2010",1,13,52,2,2,14,2,"18",2,0,0,0,5,14.3,11.1,11,9.3,222,NA,NA,NA,NA,NA,NA
"16",47,"10/10/2010",1,9,6,1,5,38,4.5,"27",2,1,0,25,28.8,22.9,23.1,5.8,5.4,412,NA,NA,NA,NA,NA,NA
