STA,DATE,GEAR,CODE,NAME,MIN.SL,MAX.SL,MEASURED,TOT.NUM,TOT.WEIGHT
32,1/22/2008,1,36030280102,Anchoa mitchilli,NA,NA,NA,1555,1486.1
32,1/22/2008,1,14050030301,Lolliguncula brevis,NA,NA,1,1,3.9
34,1/22/2008,1,36030280102,Anchoa mitchilli,NA,NA,NA,27,6.4
34,1/22/2008,1,36030620101,Bairdiella chrysoura,NA,NA,NA,28,1003.1
34,1/22/2008,1,36030170201,Brevoortia patronus,NA,NA,15,15,376.1
34,1/22/2008,1,36030530102,Cynoscion nebulosus,NA,NA,8,8,908.5
34,1/22/2008,1,36030680201,Lagodon rhomboides,NA,NA,NA,7,272.2
34,1/22/2008,1,36030620401,Leiostomus xanthurus,NA,NA,12,12,707.3
34,1/22/2008,1,36030620601,Micropogonias undulatus,NA,NA,31,31,1446.3
34,1/22/2008,1,36030620901,Pogonias cromis,NA,NA,NA,1,200.8
36,1/22/2008,1,36030280102,Anchoa mitchilli,NA,NA,NA,26,6.2
36,1/22/2008,1,36030680101,Archosargus probatocephalus,NA,NA,NA,2,478
36,1/22/2008,1,29350230203,Callinectes sapidus,NA,NA,1,1,37
36,1/22/2008,1,36030530102,Cynoscion nebulosus,NA,NA,2,2,1208.7
36,1/22/2008,1,36030270101,Elops saurus,NA,NA,NA,1,134
36,1/22/2008,1,36030620401,Leiostomus xanthurus,NA,NA,6,6,265.2
36,1/22/2008,1,36030150103,Lepomis microlophus,NA,NA,NA,6,1178.8
36,1/22/2008,1,36030620601,Micropogonias undulatus,NA,NA,5,5,226.1
36,1/22/2008,1,36030460101,Mugil cephalus,NA,NA,50,144,23551.7
36,1/22/2008,1,36030460102,Mugil curema,NA,NA,NA,3,144.5
36,1/22/2008,1,36030620901,Pogonias cromis,NA,NA,NA,6,1638.9
37,1/22/2008,1,36030280102,Anchoa mitchilli,NA,NA,NA,398,62.9
37,1/22/2008,1,36030170201,Brevoortia patronus,NA,NA,1,1,23.1
37,1/22/2008,1,36030620401,Leiostomus xanthurus,NA,NA,7,7,0.3
37,1/22/2008,1,29350010103,Litopenaeus setiferus,NA,NA,1,1,5.3
37,1/22/2008,1,36030620601,Micropogonias undulatus,NA,NA,50,85,9.7
32,2/19/2008,1,36030280102,Anchoa mitchilli,NA,NA,NA,713,643.4
